Name,Latitude,Longitude
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",10.7360325,106.7375531
British English Club,10.7332955,106.7096262
"163 đường 45,",10.7423448,106.7120433
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7451793,106.7303529
"803/23/10 Huỳnh Tấn Phát,",10.7342785,106.7324729
Mai Văn Vĩnh,10.7386125,106.7133125
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",10.7256210,106.7430565
Nhà Mẫu Phú Mỹ Hưng,10.7273616,106.7263939
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",10.7451333,106.7309591
Bia Góc,10.7368204,106.7078392
Chợ Cư xá Ngân hàng,10.7482605,106.7167158
Tịnh xá Ngọc Quy,10.7304596,106.7006992
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",10.7274320,106.7097702
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7445898,106.7303417
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",10.7150678,106.7412874
Parkson,10.7294661,106.7218830
Quán Cơm Tâm Mộc,10.7274975,106.7084534
Sunrise Cityview - Sảnh A,10.7460576,106.7015033
43 Đường Số 43,10.7428700,106.7153718
Trường Tiểu học Nguyễn Văn Hưởng,10.7186966,106.7368386
Cầu Kênh Tẻ,10.7471511,106.7022091
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7439386,106.7338770
645/51E Đ. Trần Xuân Soạn,10.7505427,106.6986564
Chè Thiên Đường,10.7300264,106.7095467
Nguyễn Thị Thập,10.7382323,106.7190861
"6/57 Trần Văn Khánh,",10.7553663,106.7234126
Cà Phê Long Béo,10.7369094,106.7073344
Đại Lý Sơn Nuớc Trường Đạt,10.7393515,106.7035813
WinMart+,10.7391219,106.7091990
Quận 7,10.7375481,106.7302238
"67 Mai Văn Vĩnh,",10.7389697,106.7138205
"36A, Đường 81,",10.7402972,106.7064478
À La Main,10.7252921,106.7098322
Trạm Xe Bus Công Ty Nidec,10.7624876,106.7454257
Thiên Sơn Plaza,10.7318839,106.7191567
Mỹ Khang,10.7155836,106.7300972
Bệnh viện Quận 7,10.7373418,106.7241872
Katinat,10.7281360,106.7088279
"Tòa Nhà Xưởng B,",10.7529642,106.7406567
Hỷ Lạc Bánh Mì Chay,10.7355720,106.7182733
541 Huỳnh Tấn Phát,10.7435703,106.7296044
Siêu Thị K-Market,10.7270560,106.7086808
Boutique Charmés,10.7281542,106.7189456
Cửa hàng Chuồn chuồn Đỏ,10.7219353,106.7131804
Hương Sen Spa,10.7306296,106.7072689
McDonald's,10.7310187,106.7237816
Bệnh viện Quận 7,10.7377898,106.7237915
Đại học Cảnh sát,10.7340132,106.6999688
"KC 52/13 HUYNH TAN PHAT KP3,",10.7545916,106.7236913
803/23/10 Huỳnh Tấn Phát,10.7343123,106.7324709
"35/4 Hẻm 39 Đường Bùi Văn Ba,",10.7505710,106.7362275
Nguyễn Văn Linh,10.7295588,106.7084800
Đầu bến Tân Quy,10.7357096,106.7063610
E50 Đường Số 9 Khu Dân Cư Him Lam,10.7427130,106.6954100
Trường Tiểu học Lê Anh Xuân,10.7316956,106.7366431
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",10.7433898,106.6949407
"1041/62/10 Trần Xuân Soạn,",10.7486647,106.6930352
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",10.7261008,106.6982448
Nhà Thuốc An Khang,10.7305239,106.7087488
Hà Huy Tập,10.7268583,106.7085654
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",10.7530758,106.7280322
Quán Rắn Hương Phù Sa,10.7401407,106.7098338
2/2 Đường Số 79,10.7398297,106.7127518
Khu phức hợp La Casa,10.7144515,106.7415221
Circle K,10.7295654,106.7233709
Tạp Hoá Ngọc Hân,10.7455285,106.7329621
Công viên Mỹ Kim,10.7243628,106.7122942
호치민 지구촌 교회,10.7338648,106.7067504
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",10.7251523,106.7084006
Tân Thuận Tây,10.7508483,106.7217063
Trường Quốc tế Nam Sài Gòn,10.7224580,106.7100283
Trung Tâm Mua Sắm Vivo City,10.7295702,106.7032896
"E23-7.06 cc Belleza, đường số 5A,",10.7072891,106.7277876
"1489 Nguyễn Văn Linh, Tòa IPC",10.7280890,106.7041230
An Vegetarian,10.7276042,106.7124529
Mầm non Ban Mai,10.7228715,106.7354647
"fpt tân thuận 3- lô b3, đường sáng tạo, khu e-office, khu chế xuất tân thuận, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7674878,106.7470514
Quán Ăn An Ký,10.7277914,106.7105143
"20/10 đường số 2,",10.7471749,106.7055059
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",10.7268389,106.6915573
Him Lam Riverside,10.7435180,106.6957970
"78B đường số 43, khu phố 4",10.7430595,106.7143319
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",10.7150053,106.7418048
Phan Huy Thục,10.7489565,106.7049210
"B4 Era Town, đường 15B,",10.7006673,106.7329769
"15 Nguyen Cao,",10.7309659,106.7125672
불막열삼,10.7311335,106.7079336
Si Cafe,10.7274680,106.7099326
Khu dân cư Kỷ Nguyên,10.7048348,106.7353238
Bệnh viện Tân Hưng,10.7516593,106.6953570
"170A Lâm Văn Bền, KP4,",10.7422796,106.7157638
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",10.7498754,106.6920378
"Toà nhà FPT đường số 8,",10.7538318,106.7405109
Saigon Riverside Complex,10.7219285,106.7435887
Bùi Văn Ba,10.7494437,106.7288480
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",10.7309739,106.7124410
Katinat Nguyễn Thị Thập,10.7398853,106.7031373
1627/50/3a Đường Đào Trí,10.7093933,106.7416335
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",10.7415805,106.7341616
Nhà Thuốc Thái Thanh,10.7255507,106.7339143
