From,To,Distance (m)
"803/23/10 Huỳnh Tấn Phát,",803/23/10 Huỳnh Tấn Phát,3.76
"15 Nguyen Cao,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",13.82
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Si Cafe,18.19
Siêu Thị K-Market,Hà Huy Tập,25.34
Quán Cơm Tâm Mộc,Siêu Thị K-Market,55.02
Bia Góc,Cà Phê Long Béo,56.03
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,","Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",56.95
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",65.56
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",66.42
Mai Văn Vĩnh,"67 Mai Văn Vĩnh,",68.25
Khu phức hợp La Casa,"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",68.89
Quán Ăn An Ký,Si Cafe,73.02
Đại Lý Sơn Nuớc Trường Đạt,Katinat Nguyễn Thị Thập,76.65
43 Đường Số 43,"170A Lâm Văn Bền, KP4,",78.38
Quán Cơm Tâm Mộc,Katinat,81.94
E50 Đường Số 9 Khu Dân Cư Him Lam,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",91.06
"6/57 Trần Văn Khánh,","KC 52/13 HUYNH TAN PHAT KP3,",91.36
Hương Sen Spa,불막열삼,91.72
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Him Lam Riverside,94.63
"Tòa Nhà Xưởng B,","Toà nhà FPT đường số 8,",97.78
Chè Thiên Đường,Nhà Thuốc An Khang,103.24
Nguyễn Văn Linh,Nhà Thuốc An Khang,111.26
Nhà Thuốc An Khang,불막열삼,111.92
43 Đường Số 43,"78B đường số 43, khu phố 4",115.54
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Siêu Thị K-Market,126.15
WinMart+,Quán Rắn Hương Phù Sa,132.83
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",541 Huỳnh Tấn Phát,139.06
Sunrise Cityview - Sảnh A,Cầu Kênh Tẻ,143.98
Mai Văn Vĩnh,2/2 Đường Số 79,148.56
À La Main,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",157.18
Katinat,Nguyễn Văn Linh,162.71
Parkson,Circle K,162.93
McDonald's,Circle K,167.71
Cà Phê Long Béo,Đầu bến Tân Quy,170.61
"1041/62/10 Trần Xuân Soạn,","1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",173.19
Trung Tâm Mua Sắm Vivo City,"1489 Nguyễn Văn Linh, Tòa IPC",188.19
Hà Huy Tập,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",190.55
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Tạp Hoá Ngọc Hân,203.09
"20/10 đường số 2,",Phan Huy Thục,208.15
Đầu bến Tân Quy,호치민 지구촌 교회,209.5
An Vegetarian,Quán Ăn An Ký,212.82
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",Tạp Hoá Ngọc Hân,223.19
"163 đường 45,","78B đường số 43, khu phố 4",262.35
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",264.05
Cửa hàng Chuồn chuồn Đỏ,Công viên Mỹ Kim,286.76
À La Main,Công viên Mỹ Kim,288.15
"163 đường 45,",2/2 Đường Số 79,290.18
Bia Góc,WinMart+,295.91
Tịnh xá Ngọc Quy,Trung Tâm Mua Sắm Vivo City,299.79
British English Club,불막열삼,303.3
Nguyễn Thị Thập,Hỷ Lạc Bánh Mì Chay,308.85
À La Main,Trường Quốc tế Nam Sài Gòn,315.86
British English Club,호치민 지구촌 교회,320.49
Quán Rắn Hương Phù Sa,2/2 Đường Số 79,320.65
WinMart+,"36A, Đường 81,",327.74
Đại Lý Sơn Nuớc Trường Đạt,"36A, Đường 81,",330.34
Chè Thiên Đường,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",333.29
Mầm non Ban Mai,Nhà Thuốc Thái Thanh,342.7
Parkson,Boutique Charmés,352.51
Cầu Kênh Tẻ,Phan Huy Thục,357.87
645/51E Đ. Trần Xuân Soạn,Bệnh viện Tân Hưng,381.22
Parkson,Thiên Sơn Plaza,401.24
Tịnh xá Ngọc Quy,Đại học Cảnh sát,403.12
Nhà Mẫu Phú Mỹ Hưng,Circle K,411.25
Bệnh viện Tân Hưng,"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",413.31
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",Bùi Văn Ba,413.59
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Saigon Riverside Complex,414.68
Thiên Sơn Plaza,Hỷ Lạc Bánh Mì Chay,421.3
Quận 7,803/23/10 Huỳnh Tấn Phát,435.58
Hương Sen Spa,"1489 Nguyễn Văn Linh, Tòa IPC",444.9
"KC 52/13 HUYNH TAN PHAT KP3,",Tân Thuận Tây,469.33
Trường Tiểu học Nguyễn Văn Hưởng,Mầm non Ban Mai,487.89
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",Trường Tiểu học Lê Anh Xuân,492.38
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Bùi Văn Ba,501.87
"KC 52/13 HUYNH TAN PHAT KP3,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",503.27
Nguyễn Thị Thập,Bệnh viện Quận 7,516.4
"B4 Era Town, đường 15B,",Khu dân cư Kỷ Nguyên,529.62
"803/23/10 Huỳnh Tấn Phát,",Trường Tiểu học Lê Anh Xuân,538.56
Cầu Kênh Tẻ,645/51E Đ. Trần Xuân Soạn,541.16
"Tòa Nhà Xưởng B,","35/4 Hẻm 39 Đường Bùi Văn Ba,",552.21
Tịnh xá Ngọc Quy,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",553.91
Khu phức hợp La Casa,1627/50/3a Đường Đào Trí,562.58
Nguyễn Thị Thập,"170A Lâm Văn Bền, KP4,",578.16
Trạm Xe Bus Công Ty Nidec,"fpt tân thuận 3- lô b3, đường sáng tạo, khu e-office, khu chế xuất tân thuận, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",583.67
Chợ Cư xá Ngân hàng,Tân Thuận Tây,616.46
Chợ Cư xá Ngân hàng,43 Đường Số 43,617.12
Quận 7,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",621.38
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","1041/62/10 Trần Xuân Soạn,",622.39
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Trường Tiểu học Nguyễn Văn Hưởng,631.72
"35/4 Hẻm 39 Đường Bùi Văn Ba,",Tạp Hoá Ngọc Hân,664.56
Sunrise Cityview - Sảnh A,Katinat Nguyễn Thị Thập,709.16
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,","08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",735.22
Trường Tiểu học Lê Anh Xuân,Nhà Thuốc Thái Thanh,745.49
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",Saigon Riverside Complex,794.11
Trường Tiểu học Nguyễn Văn Hưởng,Mỹ Khang,813.82
Khu dân cư Kỷ Nguyên,1627/50/3a Đường Đào Trí,855.68
"E23-7.06 cc Belleza, đường số 5A,",Khu dân cư Kỷ Nguyên,867.45
Trạm Xe Bus Công Ty Nidec,"Toà nhà FPT đường số 8,",1102.1
